ITEM:  TIMESTEP
     0
ITEM: NUMBER OF ATOMS
 26040
ITEM: BOX BOUNDS pp pp pp
 -0.29999E+02   0.29999E+02
 -0.29999E+02   0.29999E+02
 -0.69741E+02   0.69741E+02
ITEM: ATOMS id element usc umech ucond theta
     1  Al  -0.91936E+04   0.24125E+05   0.00000E+00   0.34707E+03
     2  Al  -0.89871E+04   0.24332E+05   0.00000E+00   0.34707E+03
     3  Al  -0.10609E+05   0.22710E+05   0.00000E+00   0.34707E+03
     4  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
     5  Al  -0.89848E+04   0.24334E+05   0.00000E+00   0.34707E+03
     6  Al  -0.83148E+04   0.25004E+05   0.00000E+00   0.34707E+03
     7  Al  -0.10609E+05   0.22709E+05   0.00000E+00   0.34707E+03
     8  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
     9  Al  -0.87947E+04   0.24524E+05   0.00000E+00   0.34707E+03
    10  Al  -0.84670E+04   0.24852E+05   0.00000E+00   0.34707E+03
    11  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
    12  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
    13  Al  -0.90670E+04   0.24252E+05   0.00000E+00   0.34707E+03
    14  Al  -0.90854E+04   0.24234E+05   0.00000E+00   0.34707E+03
    15  Al  -0.10609E+05   0.22710E+05   0.00000E+00   0.34707E+03
    16  Al  -0.10609E+05   0.22709E+05   0.00000E+00   0.34707E+03
    17  Al  -0.91785E+04   0.24140E+05   0.00000E+00   0.34707E+03
    18  Al  -0.88360E+04   0.24483E+05   0.00000E+00   0.34707E+03
    19  Al  -0.10609E+05   0.22710E+05   0.00000E+00   0.34707E+03
    20  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
    21  Al  -0.89016E+04   0.24417E+05   0.00000E+00   0.34707E+03
    22  Al  -0.82287E+04   0.25090E+05   0.00000E+00   0.34707E+03
    23  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
    24  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
    25  Al  -0.88333E+04   0.24486E+05   0.00000E+00   0.34707E+03
    26  Al  -0.86526E+04   0.24666E+05   0.00000E+00   0.34707E+03
    27  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
    28  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
    29  Al  -0.91346E+04   0.24184E+05   0.00000E+00   0.34707E+03
    30  Al  -0.91193E+04   0.24200E+05   0.00000E+00   0.34707E+03
    31  Al  -0.10609E+05   0.22710E+05   0.00000E+00   0.34707E+03
    32  Al  -0.10609E+05   0.22709E+05   0.00000E+00   0.34707E+03
    33  Al  -0.91346E+04   0.24184E+05   0.00000E+00   0.34707E+03
    34  Al  -0.86526E+04   0.24666E+05   0.00000E+00   0.34707E+03
    35  Al  -0.10609E+05   0.22710E+05   0.00000E+00   0.34707E+03
    36  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
    37  Al  -0.88333E+04   0.24486E+05   0.00000E+00   0.34707E+03
    38  Al  -0.82287E+04   0.25090E+05   0.00000E+00   0.34707E+03
    39  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
    40  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
    41  Al  -0.89016E+04   0.24417E+05   0.00000E+00   0.34707E+03
    42  Al  -0.88360E+04   0.24483E+05   0.00000E+00   0.34707E+03
    43  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
    44  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
    45  Al  -0.91785E+04   0.24140E+05   0.00000E+00   0.34707E+03
    46  Al  -0.90854E+04   0.24234E+05   0.00000E+00   0.34707E+03
    47  Al  -0.10609E+05   0.22710E+05   0.00000E+00   0.34707E+03
    48  Al  -0.10609E+05   0.22709E+05   0.00000E+00   0.34707E+03
    49  Al  -0.90670E+04   0.24252E+05   0.00000E+00   0.34707E+03
    50  Al  -0.84670E+04   0.24852E+05   0.00000E+00   0.34707E+03
    51  Al  -0.10609E+05   0.22710E+05   0.00000E+00   0.34707E+03
    52  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
    53  Al  -0.87947E+04   0.24524E+05   0.00000E+00   0.34707E+03
    54  Al  -0.83148E+04   0.25004E+05   0.00000E+00   0.34707E+03
    55  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
    56  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
    57  Al  -0.89848E+04   0.24334E+05   0.00000E+00   0.34707E+03
    58  Al  -0.89871E+04   0.24332E+05   0.00000E+00   0.34707E+03
    59  Al  -0.10609E+05   0.22709E+05   0.00000E+00   0.34707E+03
    60  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
    61  Al  -0.91626E+04   0.24156E+05   0.00000E+00   0.34707E+03
    62  Al  -0.91276E+04   0.24191E+05   0.00000E+00   0.34707E+03
    63  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
    64  Al  -0.10609E+05   0.22710E+05   0.00000E+00   0.34707E+03
    65  Al  -0.87964E+04   0.24522E+05   0.00000E+00   0.34707E+03
    66  Al  -0.90660E+04   0.24253E+05   0.00000E+00   0.34707E+03
    67  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
    68  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
    69  Al  -0.84657E+04   0.24853E+05   0.00000E+00   0.34707E+03
    70  Al  -0.90823E+04   0.24237E+05   0.00000E+00   0.34707E+03
    71  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
    72  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
    73  Al  -0.89401E+04   0.24379E+05   0.00000E+00   0.34707E+03
    74  Al  -0.91338E+04   0.24185E+05   0.00000E+00   0.34707E+03
    75  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
    76  Al  -0.10609E+05   0.22710E+05   0.00000E+00   0.34707E+03
    77  Al  -0.91359E+04   0.24183E+05   0.00000E+00   0.34707E+03
    78  Al  -0.91164E+04   0.24203E+05   0.00000E+00   0.34707E+03
    79  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
    80  Al  -0.10609E+05   0.22709E+05   0.00000E+00   0.34707E+03
    81  Al  -0.86514E+04   0.24667E+05   0.00000E+00   0.34707E+03
    82  Al  -0.90564E+04   0.24263E+05   0.00000E+00   0.34707E+03
    83  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
    84  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
    85  Al  -0.85327E+04   0.24786E+05   0.00000E+00   0.34707E+03
    86  Al  -0.91005E+04   0.24218E+05   0.00000E+00   0.34707E+03
    87  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
    88  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
    89  Al  -0.90587E+04   0.24260E+05   0.00000E+00   0.34707E+03
    90  Al  -0.91357E+04   0.24183E+05   0.00000E+00   0.34707E+03
    91  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
    92  Al  -0.10609E+05   0.22710E+05   0.00000E+00   0.34707E+03
    93  Al  -0.90587E+04   0.24260E+05   0.00000E+00   0.34707E+03
    94  Al  -0.91005E+04   0.24218E+05   0.00000E+00   0.34707E+03
    95  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
    96  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
    97  Al  -0.85327E+04   0.24786E+05   0.00000E+00   0.34707E+03
    98  Al  -0.90564E+04   0.24263E+05   0.00000E+00   0.34707E+03
    99  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
   100  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
   101  Al  -0.86514E+04   0.24667E+05   0.00000E+00   0.34707E+03
   102  Al  -0.91164E+04   0.24203E+05   0.00000E+00   0.34707E+03
   103  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
   104  Al  -0.10609E+05   0.22709E+05   0.00000E+00   0.34707E+03
   105  Al  -0.91359E+04   0.24183E+05   0.00000E+00   0.34707E+03
   106  Al  -0.91338E+04   0.24185E+05   0.00000E+00   0.34707E+03
   107  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
   108  Al  -0.10609E+05   0.22710E+05   0.00000E+00   0.34707E+03
   109  Al  -0.89401E+04   0.24379E+05   0.00000E+00   0.34707E+03
   110  Al  -0.90823E+04   0.24237E+05   0.00000E+00   0.34707E+03
   111  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
   112  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
   113  Al  -0.84657E+04   0.24853E+05   0.00000E+00   0.34707E+03
   114  Al  -0.90660E+04   0.24253E+05   0.00000E+00   0.34707E+03
   115  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
