ITEM: TIMESTEP
     0
ITEM: NUMBER OF ATOMS
 26040
ITEM: BOX BOUNDS pp pp pp
 -0.29999E+02   0.29999E+02
 -0.29999E+02   0.29999E+02
 -0.69741E+02   0.69741E+02
ITEM: ATOMS id element x y z vx vy vz fx fy fz
     1  Al  -0.29999E+02  -0.29999E+02  -0.69741E+02  -0.24416E+01   0.73906E+00  -0.29323E+01  -0.11328E-10   0.31641E+02  -0.24950E+04
     2  Al  -0.27999E+02  -0.27999E+02  -0.69741E+02   0.26478E+01   0.59926E+00  -0.21562E+00  -0.50914E+03   0.88645E+02  -0.17077E+04
     3  Al  -0.29999E+02  -0.27999E+02  -0.67741E+02   0.27563E+01   0.25588E+01  -0.82333E+00  -0.16919E-10  -0.61305E+00  -0.93098E+03
     4  Al  -0.27999E+02  -0.29999E+02  -0.67741E+02  -0.24897E+01  -0.13293E+01   0.24942E+01  -0.42004E+01   0.30513E-01  -0.92215E+03
     5  Al  -0.25999E+02  -0.29999E+02  -0.69741E+02  -0.83776E+00  -0.31715E+00  -0.16381E+01  -0.33837E+03   0.36198E+03  -0.16424E+04
     6  Al  -0.23999E+02  -0.27999E+02  -0.69741E+02  -0.24056E+01   0.25135E-01   0.51728E+00  -0.58020E+03   0.31175E+03   0.16894E+04
     7  Al  -0.25999E+02  -0.27999E+02  -0.67741E+02   0.13709E+01  -0.25058E+00  -0.27228E+01  -0.11802E+02  -0.27646E+01  -0.90798E+03
     8  Al  -0.23999E+02  -0.29999E+02  -0.67741E+02   0.70361E+00   0.10640E+01  -0.23568E+01  -0.35902E+01  -0.11827E+02  -0.90601E+03
     9  Al  -0.21999E+02  -0.29999E+02  -0.69741E+02   0.96496E+00  -0.12760E+01  -0.44272E+01   0.86524E+02   0.68531E+03  -0.75514E+03
    10  Al  -0.20000E+02  -0.27999E+02  -0.69741E+02  -0.21173E+01   0.10655E+01  -0.24260E+01   0.79603E+03   0.25686E+03   0.86043E+03
    11  Al  -0.21999E+02  -0.27999E+02  -0.67741E+02  -0.16999E+01   0.90083E+00  -0.16594E+01   0.24996E+01  -0.45243E+01  -0.88878E+03
    12  Al  -0.20000E+02  -0.29999E+02  -0.67741E+02  -0.46126E+00  -0.60362E+00   0.33652E+01   0.52142E+01  -0.93062E+01  -0.90964E+03
    13  Al  -0.18000E+02  -0.29999E+02  -0.69741E+02  -0.29578E+01  -0.12575E+01   0.27695E+01   0.29143E+03   0.22875E+03  -0.19950E+04
    14  Al  -0.16000E+02  -0.27999E+02  -0.69741E+02   0.15993E+01  -0.14257E+01   0.28241E+01   0.26050E+03   0.60653E+02  -0.21411E+04
    15  Al  -0.18000E+02  -0.27999E+02  -0.67741E+02  -0.55496E+00   0.16086E+01  -0.31544E+01   0.11139E+02  -0.19480E+01  -0.91673E+03
    16  Al  -0.16000E+02  -0.29999E+02  -0.67741E+02   0.43778E+01  -0.36067E+01  -0.37312E+01   0.22771E+01   0.19493E+01  -0.92457E+03
    17  Al  -0.14000E+02  -0.29999E+02  -0.69741E+02  -0.15458E+01  -0.85798E+00   0.26144E+01  -0.10548E+03   0.54652E+02  -0.24383E+04
    18  Al  -0.12000E+02  -0.27999E+02  -0.69741E+02   0.87915E+00  -0.78332E+01   0.34765E+00  -0.71665E+03   0.13421E+03  -0.10068E+04
    19  Al  -0.14000E+02  -0.27999E+02  -0.67741E+02   0.15832E+01  -0.19157E+01  -0.13413E+01  -0.46523E+01  -0.76674E+00  -0.92922E+03
    20  Al  -0.12000E+02  -0.29999E+02  -0.67741E+02   0.13382E+01   0.70549E+00   0.77389E+00  -0.54854E+01  -0.28049E+01  -0.91850E+03
